generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1764936410-wJHiBZ2d4H5Gd8BssYmE,2025-12-05 12:06:50.312,0.000048,,,,0,440,10,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,625,368,CyberKitty Transkribator,azazaz
gen-1764936409-UcwWupPms73l6JwI5DIR,2025-12-05 12:06:49.049,0.000048,,,,0,441,10,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,475,475,CyberKitty Transkribator,azazaz
gen-1764936405-uo9RYcFfxkxhDhkfik1V,2025-12-05 12:06:45.930,0.000442,,,,0,2377,513,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,2804,633,Transkribator,azazaz
gen-1764936404-FRRCmAL0bDsAd66EKc8V,2025-12-05 12:06:44.563,0.000243,,,,0,2168,67,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,972,500,Transkribator,azazaz
gen-1764936403-4fFrCU9JH1CC41jC0JvU,2025-12-05 12:06:43.250,0.000266,,,,0,2372,74,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,986,400,Transkribator,azazaz
gen-1764936400-DH3aKIJ3UojauMPQzEtd,2025-12-05 12:06:40.647,0.000361,,,,0,2373,311,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,2268,402,Transkribator,azazaz
gen-1764936399-HLDWhV6tRMO5M34Kak8h,2025-12-05 12:06:39.554,0.000316,,,,0,2353,204,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,882,384,Transkribator,azazaz
gen-1764936397-3BHgxMDahAu2VmkHtLGD,2025-12-05 12:06:37.758,0.000281,,,,0,1940,218,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,1461,289,Transkribator,azazaz
gen-1764936395-fuElywoHFapMLBmvbv97,2025-12-05 12:06:35.859,0.000325,,,,0,2518,184,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,1564,491,Transkribator,azazaz
gen-1764936394-qf6cjWG2AU72jdP0eVJH,2025-12-05 12:06:34.689,0.000281,,,,0,2518,73,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,936,370,Transkribator,azazaz
