id,referral_code,visitor_telegram_id,created_at
2,lDcXBr17,6800722380,2025-11-10 20:56:37.739484
3,TaxgjcxL,970849915,2025-11-12 07:55:32.065944
4,TaxgjcxL,513750719,2025-11-12 10:12:48.786072
5,TaxgjcxL,1246439220,2025-11-12 16:00:51.671069
6,TaxgjcxL,927521101,2025-11-13 04:56:31.924478
7,TaxgjcxL,568541802,2025-11-13 06:04:34.492407
8,x6Ysi8S9,158184668,2025-11-14 08:00:11.500832
9,TaxgjcxL,970849915,2025-11-14 15:54:06.114074
10,c1tR4ozr,408748097,2025-11-19 19:18:53.996769
11,JG8OGJg6,8025566381,2025-11-22 16:36:10.578707
